id;tipo_pessoa;nome;razao_social;cpf;cnpj;email;telefone;data_cadastro;ativo
1;JURIDICA;mealy at dependency;once;major enlig;yippee which;Caua15@yahoo.com;phew;2025-05-10T04:08:14;true
2;JURIDICA;ha including;warlike skeleton;authorized ;where out;MariaClara_Reis49@bol.com.br;upbeat in;2025-05-09T20:39:32;true
3;JURIDICA;wombat about kindheartedly;perfectly fiercely progress;yowza mecha;cantaloupe pai;Maite.Batista@yahoo.com;how descent a;2025-05-09T22:20:37;true
4;JURIDICA;silently;mundane kiss;folklore co;between;Paula_Franco@hotmail.com;incidentally ;2025-05-10T15:19:57;true
5;JURIDICA;even anguished forenenst;yippee dusk;vacantly;whether;Rafael_Batista@live.com;pillbox pfft;2025-05-10T04:35:03;true
6;FISICA;pomelo till;helpfully aside whoa;cruelly hoo;mmm hence scou;DaviLucca_Barros71@bol.com.br;including;2025-05-10T13:35:11;true
7;JURIDICA;around;cheerful;yowza;that;Isaac_Martins78@gmail.com;brr woot;2025-05-10T16:49:08;true
8;FISICA;invite uproot;nougat;apt whereas;regularly gee;Nubia12@gmail.com;vastly pluck ;2025-05-09T20:22:15;true
9;FISICA;guard alongside;following;wherever wh;programme unfo;MariaAlice_Melo@hotmail.com;soft optimist;2025-05-10T09:28:41;false
10;FISICA;swiftly woot whack;per;zowie knavi;far-flung;Ladislau_Souza@bol.com.br;save inasmuch;2025-05-10T12:21:50;true
