id;rua;cidade;estado;codigo_postal
1;snuggle;valentine versus;scarily;meanwhile anesthetiz
2;and;chatter;bidet;blah masculinize bar
3;victoriously;before duh supposing;undergo;regarding impartial 
4;blah;fooey loosely;babyish why roughly;thin
5;round;ugh glaring forager;whenever crackle ack;adventurously swim
6;big;provided however intensely;truly while;reluctantly
7;knavishly;butter who entwine;um however tight;as valuable
8;woot psst;readily sharply pulverize;afore anenst;indeed powerfully or
9;nor;whenever;although furthermore spherical;second-hand as
10;courtroom;wisely;divert hm;um thoroughly suppos
