id;nome;razao_social;cpf;cnpj;email;telefone;condicao_pagamento;ativo;data_cadastro
1;ha;pitiful;react in wh;metallic smugg;AnaLuiza68@live.com;institutional;husband metabolise;false;2025-05-10
2;coordinated;than;lively afte;bah couch irre;Rebeca.Santos@bol.com.br;though abaft ;wherever mmm;true;2025-05-10
3;crest;braid thongs given;permafrost ;that lest;Theo28@gmail.com;politely past;braid slip;true;2025-05-09
4;inasmuch;tedious knowledgeably scratchy;digestive;mmm;Larissa_Melo62@bol.com.br;steep place;tuxedo costume psst;true;2025-05-10
5;to who;triumphantly;bolster um;polished delib;Benicio.Nogueira23@yahoo.com;offset tense;hm;true;2025-05-10
6;anxiously traditionalism;suffice;cinema yum ;if scarcely;Fabricio_Costa98@bol.com.br;of form;gladly rationale for;false;2025-05-09
7;that;meanwhile;aha meanwhi;fooey thorough;Eloa_Oliveira71@gmail.com;supposing;wrongly;false;2025-05-10
8;bide;boo tighten;jazz round;massive;Noah.Pereira19@bol.com.br;aha plus barr;anenst ligate;true;2025-05-10
9;intrigue how because;by warm selfish;cleave lone;besides concen;Carla34@gmail.com;blah;entire greedily;false;2025-05-10
10;large admired unbearably;fervently;gorgeous;outsource issu;Gael_Moreira@bol.com.br;yippee young;fencing;false;2025-05-09
