id;nome;cpf;email;telefone;cargo;data_admissao;data_desligamento;salario;ativo
1;pish gracefully;by;Kleber.Santos96@yahoo.com;ravage;VENDEDOR;2025-05-10;2025-05-10;27559.03;false
2;luck;modulo;Talita58@gmail.com;behest;ESTAGIARIO;2025-05-10;2025-05-10;23006.95;false
3;aw;even;Victor39@hotmail.com;ha carefully;GERENTE;2025-05-10;2025-05-09;16169.65;false
4;ick brochure swanling;wetly quirk;Janaina62@hotmail.com;reopen oh eve;ESTAGIARIO;2025-05-10;2025-05-10;5234.3;false
5;plump fooey;where;Liz90@live.com;starch;ESTAGIARIO;2025-05-10;2025-05-09;20617.48;true
6;woot superficial over;psst whose ;Eduarda40@gmail.com;flat;VENDEDOR;2025-05-10;2025-05-09;4818.26;false
7;toward so incidentally;lest fluff ;Guilherme42@yahoo.com;yuck;GERENTE;2025-05-10;2025-05-10;14229.34;false
8;now trick whereas;beyond;Victor76@gmail.com;but;GERENTE;2025-05-10;2025-05-10;29390.18;false
9;statement congregate fisherman;frugal;Gubio.Batista@hotmail.com;times;ESTAGIARIO;2025-05-10;2025-05-10;6490.9;false
10;especially or apud;stiffen;MariaLuiza.Melo@live.com;viciously;GERENTE;2025-05-10;2025-05-09;32482.44;false
